,s_input,s_from,s_to,s_output,s_name,loudnorm,volume_mod
0,FROZEN CROWN - Battles In The Night  [kVHZ6yVOkUE].mp3,5,22,frozencrown-battlesinthenight,kVHZ6yVOkUE,NL,-6
1,ariana grande - positions [xuOOAQoDKN0].mp3,0,7,arianagrande-positions,xuOOAQoDKN0,,0
2,Erik Nielsen - Sketches III Staccato [9R9xRrXJRMQ].mp3,5,15,eriknielsen-sketchesiiistaccato,9R9xRrXJRMQ,,0
3,Blur - For Tomorrow  [J77C9ODFflw].opus,198,218,blur-fortomorrow,J77C9ODFflw,NL,-6
4,Lady Gaga - Alejandro [06MV87zoZaY].opus,23,33,ladygaga-alejandro,06MV87zoZaY,NL,0
5,ABHI MUJH MEIN KAHIN - Sonu Nigam [3Iq3j3L06rQ].mp3,97,109,abhimujhmeinkahin-sonunigam,3Iq3j3L06rQ,,0
6,Lord Huron - The Night We Met  [KtlgYxa6BMU].mp3,0,15,lordhuron-thenightwemet,KtlgYxa6BMU,,0
7,Jaco Pastorius - full album [pvjHT8Lepz8].mp3,6,22,jacopastorius-fullalbum1,pvjHT8Lepz8,NL,0
8,Jaco Pastorius - full album [pvjHT8Lepz8].mp3,1049,1057,jacopastorius-fullalbum2,pvjHT8Lepz8,NL,0
9,Jaco Pastorius - full album [pvjHT8Lepz8].mp3,1605,1615,jacopastorius-fullalbum3,pvjHT8Lepz8,NL,0
10,Bach - Organ Sonata No4 [h3-rNMhIyuQ].mp3,0,13,bach-organsonatano4,h3-rNMhIyuQ,,0
11,grandson - Blood Water  [LsHYFQgQxpw].mp3,57,67,grandson-bloodwater,LsHYFQgQxpw,NL,-6
12,In Flames - The End  [yafxUluB6DA].mp3,72,80,inflames-theend,yafxUluB6DA,NL,0
13,Interstellar - Cornfield Chase [mykUt3yhZWA].opus,0,16,interstellar-cornfieldchase1,mykUt3yhZWA,,0
14,Interstellar - Cornfield Chase [mykUt3yhZWA].opus,32,40,interstellar-cornfieldchase2,mykUt3yhZWA,,0
