NUM,KEY,ITEM
1,+N1 ,Worry about things 
31,+N1 ,Fear for the worst 
61,+N1 ,Am afraid of many things 
91,+N1 ,Get stressed out easily 
6,+N2 ,Get angry easily 
36,+N2 ,Get irritated easily 
66,+N2 ,Lose my temper 
96,N2 ,Am not easily annoyed 
11,+N3 ,Often feel blue 
41,+N3 ,Dislike myself 
71,+N3 ,Am often down in the dumps 
101,N3 ,Feel comfortable with myself 
16,+N4 ,Find it difficult to approach others 
46,+N4 ,Am afraid to draw attention to myself 
76,+N4 ,Only feel comfortable with friends 
106,N4 ,Am not bothered by difficult social situations 
21,+N5 ,Go on binges 
51,N5 ,Rarely overindulge 
81,N5 ,Easily resist temptations 
111,N5 ,Am able to control my cravings 
26,+N6 ,Panic easily 
56,+N6 ,Become overwhelmed by events 
86,+N6 ,Feel that I’m unable to deal with things 
116,N6 ,Remain calm under pressure 
2,+E1 ,Make friends easily 
32,+E1 ,Feel comfortable around people 
62,E1 ,Avoid contacts with others 
92,E1 ,Keep others at a distance 
7,+E2 ,Love large parties 
37,+E2 ,Talk to a lot of different people at parties 
67,E2 ,Prefer to be alone 
97,E2 ,Avoid crowds 
12,+E3 ,Take charge 
42,+E3 ,Try to lead others 
72,+E3 ,Take control of things 
102,E3 ,Wait for others to lead the way 
17,+E4 ,Am always busy 
47,+E4 ,Am always on the go 
77,+E4 ,Do a lot in my spare time 
107,E4 ,Like to take it easy 
22,+E5 ,Love excitement 
52,+E5 ,Seek adventure 
82,+E5 ,Enjoy being reckless 
112,+E5 ,Act wild and crazy 
27,+E6 ,Radiate joy 
57,+E6 ,Have a lot of fun 
87,+E6 ,Love life 
117,+E6 ,Look at the bright side of life 
3,+O1 ,Have a vivid imagination 
33,+O1 ,Enjoy wild flights of fantasy 
63,+O1 ,Love to daydream 
93,+O1 ,Like to get lost in thought 
8,+O2 ,Believe in the importance of art 
38,+O2 ,See beauty in things that others might not notice 
68,O2 ,Do not like poetry 
98,O2 ,Do not enjoy going to art museums 
13,+O3 ,Experience my emotions intensely 
43,+O3 ,Feel others’ emotions 
73,O3 ,Rarely notice my emotional reactions 
103,O3 ,Don’t understand people who get emotional 
18,+O4 ,Prefer variety to routine 
48,O4 ,Prefer to stick with things that I know 
78,O4 ,Dislike changes 
108,O4 ,Am attached to conventional ways 
23,+O5 ,Love to read challenging material 
53,O5 ,Avoid philosophical discussions 
83,O5 ,Have difficulty understanding abstract ideas 
113,O5 ,Am not interested in theoretical discussions 
28,+O6 ,Tend to vote for liberal political candidates 
58,+O6 ,Believe that there is no absolute right or wrong 
88,O6 ,Tend to vote for conservative political candidates 
118,O6 ,Believe that we should be tough on crime 
4,+A1 ,Trust others 
34,+A1 ,Believe that others have good intentions 
64,+A1 ,Trust what people say 
94,A1 ,Distrust people 
9,A2 ,Use others for my own ends 
39,A2 ,Cheat to get ahead 
69,A2 ,Take advantage of others 
99,A2 ,Obstruct others’ plans 
14,+A3 ,Love to help others 
44,+A3 ,Am concerned about others 
74,A3 ,Am indifferent to the feelings of others 
104,A3 ,Take no time for others 
19,A4 ,Love a good fight 
49,A4 ,Yell at people 
79,A4 ,Insult people 
109,A4 ,Get back at others 
24,A5 ,Believe that I am better than others 
54,A5 ,Think highly of myself 
84,A5 ,Have a high opinion of myself 
114,A5 ,Boast about my virtues 
29,+A6 ,Sympathize with the homeless 
59,+A6 ,Feel sympathy for those who are worse off than myself 
89,A6 ,Am not interested in other people’s problems 
119,A6 ,Try not to think about the needy 
5,+C1 ,Complete tasks successfully 
35,+C1 ,Excel in what I do 
65,+C1 ,Handle tasks smoothly 
95,+C1 ,Know how to get things done 
10,+C2 ,Like to tidy up 
40,C2 ,Often forget to put things back in their proper place 
70,C2 ,Leave a mess in my room 
100,C2 ,Leave my belongings around 
15,+C3 ,Keep my promises 
45,+C3 ,Tell the truth 
75,C3 ,Break rules 
105,C3 ,Break my promises 
20,+C4 ,Work hard 
50,+C4 ,Do more than what’s expected of me 
80,C4 ,Do just enough work to get by 
110,C4 ,Put little time and effort into my work 
25,+C5 ,Am always prepared 
55,+C5 ,Carry out my plans 
85,C5 ,Waste my time 
115,C5 ,Have difficulty starting tasks 
30,C6 ,Jump into things without thinking 
60,C6 ,Make rash decisions 
90,C6 ,Rush into things 
120,C6 ,Act without thinking 
